ticker,shortName,sector,industry,rank,score_FINAL_adj,rating,data_completeness,score_valuation,score_profitability,score_growth,score_financial,score_momentum,score_fundamental_momentum,score_income,revenue_trend,ebitda_trend,margin_trend,debt_trend,fcf_trend,earnings_consistency,revenue_r2,ebitda_r2,revenue_cagr,ebitda_cagr,revenue_qoq,ebitda_qoq,revenue_accel,margin_accel,lastPrice,priceVs50dMA,priceVs200dMA,priceVs52wHigh,priceVs52wLow,position52w,beta,marketCap,dividendYield,liquidity_flag,trailingPE,forwardPE,priceToBook,enterpriseToEbitda,returnOnEquity,profitMargins,operatingMargins,revenueGrowth,earningsGrowth,debtToEquity,currentRatio,freeCashflow
IVN.TO,IVANHOE MINES LTD,Basic Materials,Other Industrial Metals & Mining,13,2.8278808777429463,Evitar,55.2,2.7272727272727275,9.363636363636363,1.3636363636363638,1.8181818181818183,4.454545454545454,0.0,5.454545454545454,,,,,,,,,,,,,,,12.0,0.0486027368531432,-0.07261071675599229,-0.41002949852507375,0.26984126984127,0.23415977961432513,1.86,17116477440,4.6450000000000005,False,92.30769,20.781452,2.0626554,191.375,0.02118,0.23465,0.063,0.577,-0.0,22.384,2.157,-309908512
CNQ.TO,CDN NATURAL RES,Energy,Oil & Gas E&P,2,4.460298850574713,Débil,55.2,3.333333333333334,10.0,7.5,6.666666666666667,8.0,0.0,3.333333333333333,,,,,,,,,,,,,,,69.37000274658203,0.041244551314457034,0.15847013723256476,-0.04118862824351022,0.6647468861670753,0.9028684076460899,0.878,143006269440,3.6,False,12.343417,12.966453,3.066891,8.393,0.26685,0.26309,0.43091,0.695,0.838,43.13,1.001,7420125184
AMX.V,AMEX GOLD MINING INC,Basic Materials,Gold,1,4.521147335423198,Débil,55.2,6.818181818181818,6.545454545454546,8.181818181818182,7.272727272727273,6.454545454545455,0.0,5.454545454545454,,,,,,,,,,,,,,,4.380000114440918,0.03506950431064326,0.004184126655796039,-0.1797752594679929,0.802469182897497,0.670103132110281,2.779,703521408,4.6450000000000005,False,92.30769,-146.0,3.16474,-58.096,-0.04871,0.0,0.0,0.6359999999999999,2.314,12.508500000000002,14.359,-21340676
GRAY.CN,GraycliffExpl,Basic Materials,Gold,12,2.8303987460815048,Evitar,55.2,3.9772727272727275,4.545454545454545,5.909090909090908,5.90909090909091,5.2727272727272725,0.0,5.454545454545454,,,,,,,,,,,,,,,0.2849999964237213,-0.04714143622961775,0.22937559117317496,-0.44117647760054646,3.7499999403953552,0.499999992052714,0.622,4707859,4.6450000000000005,True,92.30769,4.6710777,21.923077,-20.778,-1.100735,0.0,0.0,0.6359999999999999,1.56,12.508500000000002,6.514,-976073
ENB.TO,ENBRIDGE INC,Energy,Oil & Gas Midstream,9,3.0581609195402297,Débil,55.2,1.25,6.666666666666666,6.666666666666666,3.333333333333333,3.333333333333333,0.0,10.0,,,,,,,,,,,,,,,68.13999938964844,-0.06388755399546597,-0.05691258047836101,-0.15511470068631827,0.09163728596040421,0.31376847995877316,0.769,148825161728,5.69,False,26.308882,21.160505,2.5425375,15.489,0.092209995,0.07339,0.101610005,0.971,-0.36,162.975,0.721,-1060249984
ATHA.CN,AthenaGold,Basic Materials,Other Precious Metals & Mining,10,2.9133310344827583,Evitar,55.2,5.113636363636364,5.8181818181818175,5.909090909090908,6.818181818181818,2.545454545454545,0.0,5.454545454545454,,,,,,,,,,,,,,,0.3499999940395355,0.05964273097043771,-0.29287573495055585,-0.6071829472059085,0.6666666382835025,0.20558002061605804,-1.458,12553356,4.6450000000000005,True,92.30769,4.6710777,1.1627907,-9.702,-0.50990003,0.0,0.0,0.6359999999999999,1.56,12.508500000000002,8.121,-2244620
SICO.V,SILVERCO MINING LTD,Basic Materials,Other Industrial Metals & Mining,5,3.326733542319749,Débil,55.2,4.772727272727273,3.4545454545454555,5.909090909090908,5.0,6.363636363636363,0.0,5.454545454545454,,,,,,,,,,,,,,,9.800000190734863,0.18454771923014857,0.02876610433418758,-0.41211756504289965,1.969697027495413,0.48616306587396135,,544996096,4.6450000000000005,False,92.30769,6.01227,2.3879142,-25.415,-0.24127,-2.60027,-0.25386,0.6359999999999999,1.56,6.847,0.989,21999410
MLM.CN,MCFARLANE LA...,Basic Materials,Gold,4,3.8554858934169274,Débil,55.2,6.022727272727272,4.545454545454545,5.909090909090908,2.7272727272727275,10.0,0.0,5.454545454545454,,,,,,,,,,,,,,,0.5899999737739563,0.2876472583456051,1.604425200127821,-0.13235297974418203,8.07692267344548,0.8536584939413925,-1.022,325861952,4.6450000000000005,False,92.30769,4.6710777,-22.692307,-20.778,-1.100735,0.0,0.0,0.6359999999999999,1.56,12.508500000000002,0.383,-21261440
VLTA.CN,Volta Metals,Basic Materials,Other Industrial Metals & Mining,6,3.1755040752351094,Débil,55.2,3.5227272727272734,5.090909090909091,5.909090909090908,5.454545454545455,8.909090909090908,0.0,5.454545454545454,,,,,,,,,,,,,,,0.3149999976158142,0.18823084728711503,0.4723066025511298,-0.21250000596046448,1.8636363419619473,0.7068965435028076,0.412,45392980,4.6450000000000005,True,92.30769,4.6710777,11.25,-9.702,-1.08563,0.0,0.0,0.6359999999999999,1.56,12.508500000000002,5.529,-2688918
MUX.TO,MCEWEN INC,Basic Materials,Other Precious Metals & Mining,8,3.1095673981191223,Débil,55.2,5.454545454545455,7.545454545454546,3.1818181818181817,1.8181818181818183,4.1818181818181825,0.0,5.454545454545454,,,,,,,,,,,,,,,26.600000381469727,0.011645345346421143,-0.09307565380482963,-0.33616170747517526,0.32075473592203196,0.3241344897877434,1.264,1589086336,4.6450000000000005,False,15.113637,4.6710777,1.6150031,58.387,0.13542,0.32462,-0.05921,0.268,1.56,18.17,2.037,-18615500
